jitter_duration,background_color,regulate_or_look,image_file
1.0111,#0000ff,REGULATE,Resources/tobacco_0001.jpg
0.8847,#00cd00,LOOK,Resources/tobacco_0002.jpg
1.2639,#00cd00,LOOK,Resources/tobacco_0003.jpg
0.8847,#00cd00,LOOK,Resources/tobacco_0004.jpg
0.8847,#00cd00,LOOK,Resources/tobacco_0005.jpg
1.5167,#00cd00,LOOK,Resources/tobacco_0006.jpg
1.2639,#00cd00,LOOK,Resources/tobacco_0007.jpg
1.0111,#0000ff,REGULATE,Resources/tobacco_0008.jpg
1.0111,#00cd00,LOOK,Resources/tobacco_0009.jpg
1.0111,#00cd00,LOOK,Resources/tobacco_0010.jpg
0.7583,#0000ff,REGULATE,Resources/tobacco_0011.jpg
0.8847,#0000ff,REGULATE,Resources/tobacco_0012.jpg
0.8847,#00cd00,LOOK,Resources/tobacco_0013.jpg
0.8847,#00cd00,LOOK,Resources/tobacco_0014.jpg
1.2639,#00cd00,LOOK,Resources/tobacco_0015.jpg
0.7583,#00cd00,LOOK,Resources/tobacco_0016.jpg
0.8847,#00cd00,LOOK,Resources/tobacco_0017.jpg
0.7583,#00cd00,LOOK,Resources/tobacco_0018.jpg
0.8847,#0000ff,REGULATE,Resources/tobacco_0019.jpg
0.8847,#00cd00,LOOK,Resources/tobacco_0020.jpg
0.8847,#00cd00,LOOK,Resources/tobacco_0021.jpg
1.5167,#00cd00,LOOK,Resources/tobacco_0022.jpg
0.8847,#00cd00,LOOK,Resources/tobacco_0023.jpg
0.7583,#00cd00,LOOK,Resources/tobacco_0024.jpg
1.2639,#0000ff,REGULATE,Resources/tobacco_0025.jpg
2.0223,#00cd00,LOOK,Resources/tobacco_0026.jpg
0.8847,#00cd00,LOOK,Resources/tobacco_0027.jpg
0.7583,#00cd00,LOOK,Resources/tobacco_0028.jpg
0.8847,#00cd00,LOOK,Resources/tobacco_0029.jpg
0.8847,#0000ff,REGULATE,Resources/tobacco_0030.jpg
1.0111,#00cd00,LOOK,Resources/tobacco_0031.jpg
0.8847,#00cd00,LOOK,Resources/tobacco_0032.jpg
1.0111,#0000ff,REGULATE,Resources/tobacco_0033.jpg
1.0111,#0000ff,REGULATE,Resources/tobacco_0034.jpg
0.8847,#00cd00,LOOK,Resources/tobacco_0035.jpg
0.7583,#00cd00,LOOK,Resources/tobacco_0036.jpg
0.8847,#00cd00,LOOK,Resources/tobacco_0037.jpg
0.8847,#00cd00,LOOK,Resources/tobacco_0038.jpg
0.8847,#00cd00,LOOK,Resources/tobacco_0039.jpg
0.8847,#0000ff,REGULATE,Resources/tobacco_0040.jpg
